iter	Passed	Remaining
455	861	1027
456	862	1024
457	862	1020
458	863	1017
459	864	1014
460	865	1011
461	865	1008
462	868	1006
463	868	1003
464	870	1001
465	871	999
466	873	996
467	874	993
468	875	990
469	879	991
470	880	989
471	883	988
472	886	987
473	886	984
474	888	981
475	890	980
476	893	980
477	895	977
478	895	974
479	896	971
480	897	968
481	898	965
482	899	962
483	900	960
484	901	957
485	902	954
486	903	951
487	904	948
488	905	945
489	907	944
490	907	941
491	908	938
492	909	935
493	910	932
494	911	929
495	912	926
496	913	924
497	913	921
498	914	918
499	915	915
500	918	915
501	919	912
502	919	908
503	920	905
504	922	904
505	923	901
506	923	897
507	923	894
508	924	891
509	929	892
510	929	889
511	930	886
512	930	883
513	931	880
514	931	877
515	932	874
516	933	871
517	934	869
518	935	867
519	937	864
520	937	862
521	938	859
522	939	856
523	940	854
524	941	851
525	941	848
526	942	845
527	942	842
528	945	841
529	947	840
530	948	837
531	948	834
532	949	832
533	950	829
534	950	826
535	951	823
536	952	821
537	953	819
538	955	816
539	956	814
540	957	812
541	958	810
542	960	808
543	961	805
544	962	803
545	963	801
546	965	799
547	967	798
548	978	804
549	980	802
550	980	799
551	981	796
552	981	793
553	983	791
554	984	789
555	985	787
556	987	785
557	988	783
558	989	780
559	990	777
560	991	775
561	991	773
562	992	770
563	992	767
564	993	764
565	993	762
566	994	759
567	994	756
568	995	753
569	995	751
570	996	748
571	996	745
572	998	744
573	1007	747
574	1008	745
575	1008	742
576	1009	740
577	1009	737
578	1011	735
579	1012	733
580	1018	734
581	1019	732
582	1020	729
583	1021	727
584	1021	724
585	1022	722
586	1022	719
587	1023	717
588	1024	714
589	1024	712
590	1025	709
591	1026	707
592	1027	705
593	1031	705
594	1033	703
595	1035	701
596	1038	700
597	1039	698
598	1041	697
599	1043	695
600	1044	693
601	1051	694
602	1051	692
603	1052	689
604	1053	688
605	1055	685
606	1055	683
607	1059	683
608	1064	683
609	1066	682
610	1067	679
611	1069	678
612	1070	676
613	1071	673
614	1072	671
615	1073	669
616	1075	667
617	1076	665
618	1079	664
619	1084	664
620	1086	663
621	1087	660
622	1088	658
623	1089	656
624	1090	654
625	1091	651
626	1092	649
627	1095	648
628	1096	646
629	1097	644
630	1101	644
631	1102	642
632	1103	639
633	1104	637
634	1105	635
635	1108	634
636	1111	633
637	1111	630
638	1112	628
639	1113	626
640	1113	623
641	1114	621
642	1115	619
643	1116	617
644	1118	615
645	1118	613
646	1121	611
647	1122	609
648	1122	607
649	1124	605
650	1125	603
651	1126	601
652	1127	599
653	1129	597
654	1131	595
655	1132	593
656	1132	591
657	1133	589
658	1137	588
659	1138	586
660	1140	585
661	1141	582
662	1142	580
663	1143	578
664	1144	576
665	1144	574
666	1146	572
667	1147	570
668	1148	568
669	1154	568
670	1155	566
671	1158	565
672	1159	563
673	1160	561
674	1162	559
675	1162	557
676	1163	555
677	1170	555
678	1171	553
679	1172	551
680	1173	549
681	1174	547
682	1175	545
683	1187	548
684	1188	546
685	1189	544
686	1190	542
687	1190	540
688	1191	537
689	1192	535
690	1193	533
691	1204	536
692	1208	535
693	1209	533
694	1209	530
695	1210	528
696	1210	526
697	1211	524
698	1213	522
699	1216	521
700	1223	521
701	1223	519
702	1224	517
703	1226	515
704	1231	515
705	1237	515
706	1238	513
707	1240	511
708	1240	509
709	1241	507
710	1242	504
711	1249	505
712	1252	504
713	1253	502
714	1254	500
715	1255	497
716	1255	495
717	1256	493
718	1256	491
719	1257	488
720	1257	486
721	1258	484
722	1269	486
723	1270	484
724	1271	482
725	1272	480
726	1272	477
727	1273	475
728	1273	473
729	1276	471
730	1276	469
731	1277	467
732	1282	467
733	1283	465
734	1285	463
735	1289	462
736	1290	460
737	1290	458
738	1291	456
739	1292	454
740	1293	452
741	1293	449
742	1294	447
743	1295	445
744	1296	443
745	1297	441
746	1300	440
747	1301	438
748	1302	436
749	1307	435
750	1307	433
751	1308	431
752	1308	429
753	1309	427
754	1309	425
755	1310	422
756	1311	420
757	1312	418
758	1316	417
759	1317	415
760	1319	414
761	1333	416
762	1335	414
763	1336	412
764	1339	411
765	1340	409
766	1341	407
767	1342	405
768	1343	403
769	1345	402
770	1350	401
771	1352	399
772	1353	397
773	1354	395
774	1356	393
775	1356	391
776	1357	389
777	1358	387
778	1359	385
779	1360	383
780	1361	381
781	1362	379
782	1363	377
783	1363	375
784	1364	373
785	1364	371
786	1368	370
787	1369	368
788	1370	366
789	1371	364
790	1372	362
791	1373	360
792	1374	358
793	1374	356
794	1375	354
795	1376	352
796	1377	350
797	1377	348
798	1378	346
799	1379	344
800	1379	342
801	1385	342
802	1386	340
803	1387	338
804	1389	336
805	1390	334
806	1391	332
807	1392	330
808	1393	328
809	1393	326
810	1394	325
811	1395	323
812	1396	321
813	1397	319
814	1399	317
815	1400	315
816	1401	313
817	1402	312
818	1403	310
819	1403	308
820	1404	306
821	1405	304
822	1406	302
823	1407	300
824	1408	298
825	1408	296
826	1409	294
827	1410	293
828	1411	291
829	1412	289
830	1413	287
831	1414	285
832	1416	284
833	1417	282
834	1418	280
835	1420	278
836	1420	276
837	1421	274
838	1422	272
839	1423	271
840	1424	269
841	1424	267
842	1425	265
843	1425	263
844	1426	261
845	1427	259
846	1428	257
847	1428	256
848	1430	254
849	1434	253
850	1436	251
851	1436	249
852	1438	247
853	1438	245
854	1439	244
855	1439	242
856	1440	240
857	1440	238
858	1443	236
859	1444	235
860	1445	233
861	1445	231
862	1446	229
863	1449	228
864	1452	226
865	1457	225
866	1458	223
867	1459	221
868	1460	220
869	1472	219
870	1473	218
871	1474	216
872	1475	214
873	1482	213
874	1484	212
875	1486	210
876	1489	208
877	1493	207
878	1494	205
879	1496	204
880	1497	202
881	1497	200
882	1498	198
883	1501	196
884	1502	195
885	1511	194
886	1513	192
887	1514	190
888	1515	189
889	1515	187
890	1516	185
891	1517	183
892	1518	181
893	1518	180
894	1530	179
895	1531	177
896	1531	175
897	1532	174
898	1533	172
899	1534	170
900	1535	168
901	1547	168
902	1548	166
903	1549	164
904	1550	162
905	1550	160
906	1551	159
907	1552	157
908	1553	155
909	1555	153
910	1573	153
911	1578	152
912	1579	150
913	1580	148
914	1580	146
915	1582	145
916	1587	143
917	1588	141
918	1589	140
919	1595	138
920	1596	136
921	1597	135
922	1597	133
923	1598	131
924	1598	129
925	1599	127
926	1600	126
927	1601	124
928	1601	122
929	1602	120
930	1602	118
931	1603	116
932	1604	115
933	1605	113
934	1606	111
935	1606	109
936	1608	108
937	1614	106
938	1615	104
939	1616	103
